Date,LSTM_Forecast_Close
2026-01-16,913.76044
2026-01-17,908.12164
2026-01-18,898.1662
2026-01-19,886.6993
2026-01-20,875.2084
2026-01-21,864.4564
2026-01-22,854.777
2026-01-23,846.23987
2026-01-24,838.7577
2026-01-25,832.1619
2026-01-26,826.2525
2026-01-27,820.835
2026-01-28,815.74054
2026-01-29,810.837
2026-01-30,806.0294
2026-01-31,801.25854
2026-02-01,796.4942
2026-02-02,791.7278
2026-02-03,786.96576
2026-02-04,782.22284
2026-02-05,777.5165
2026-02-06,772.8653
2026-02-07,768.2849
2026-02-08,763.78674
2026-02-09,759.3784
2026-02-10,755.06384
2026-02-11,750.8441
2026-02-12,746.7173
2026-02-13,742.6796
2026-02-14,738.72736
2026-02-15,734.8566
2026-02-16,731.06287
2026-02-17,727.3419
2026-02-18,723.6904
2026-02-19,720.1053
2026-02-20,716.5841
2026-02-21,713.12463
2026-02-22,709.7249
2026-02-23,706.3834
2026-02-24,703.09863
2026-02-25,699.86914
2026-02-26,696.6938
2026-02-27,693.5712
2026-02-28,690.50024
2026-03-01,687.4796
2026-03-02,684.5081
2026-03-03,681.58466
2026-03-04,678.70795
2026-03-05,675.877
2026-03-06,673.0905
2026-03-07,670.34753
2026-03-08,667.6469
2026-03-09,664.98773
2026-03-10,662.36896
2026-03-11,659.78973
2026-03-12,657.24884
2026-03-13,654.7458
2026-03-14,652.2795
2026-03-15,649.84906
2026-03-16,647.4539
2026-03-17,645.093
2026-03-18,642.7658
2026-03-19,640.4715
2026-03-20,638.2093
2026-03-21,635.9786
2026-03-22,633.7787
2026-03-23,631.6089
2026-03-24,629.4686
2026-03-25,627.3573
2026-03-26,625.27423
2026-03-27,623.21893
2026-03-28,621.1908
2026-03-29,619.1892
2026-03-30,617.21375
2026-03-31,615.26385
2026-04-01,613.3389
2026-04-02,611.4386
2026-04-03,609.5623
2026-04-04,607.7096
2026-04-05,605.88007
2026-04-06,604.07324
2026-04-07,602.28876
2026-04-08,600.526
2026-04-09,598.7848
2026-04-10,597.0646
2026-04-11,595.3651
2026-04-12,593.68585
2026-04-13,592.0265
2026-04-14,590.3867
2026-04-15,588.7662
