Date,LSTM_Forecast_Close
2025-12-21,124.03964
2025-12-22,124.18225
2025-12-23,124.42147
2025-12-24,124.70956
2025-12-25,125.01845
2025-12-26,125.331474
2025-12-27,125.63916
2025-12-28,125.93614
2025-12-29,126.21998
2025-12-30,126.490036
2025-12-31,126.7468
2026-01-01,126.991394
2026-01-02,127.22586
2026-01-03,127.4518
2026-01-04,127.67068
2026-01-05,127.88393
2026-01-06,128.09297
2026-01-07,128.29883
2026-01-08,128.50232
2026-01-09,128.7042
2026-01-10,128.90471
2026-01-11,129.10422
2026-01-12,129.30276
2026-01-13,129.5005
2026-01-14,129.69736
2026-01-15,129.89325
2026-01-16,130.08818
2026-01-17,130.28185
2026-01-18,130.47418
2026-01-19,130.66531
2026-01-20,130.85504
2026-01-21,131.04333
2026-01-22,131.23012
2026-01-23,131.41542
2026-01-24,131.59923
2026-01-25,131.78151
2026-01-26,131.96228
2026-01-27,132.14156
2026-01-28,132.3193
2026-01-29,132.49559
2026-01-30,132.67041
2026-01-31,132.84372
2026-02-01,133.01561
2026-02-02,133.18604
2026-02-03,133.35501
2026-02-04,133.52255
2026-02-05,133.68867
2026-02-06,133.85338
2026-02-07,134.01666
2026-02-08,134.17854
2026-02-09,134.33905
2026-02-10,134.49815
2026-02-11,134.65584
2026-02-12,134.81218
2026-02-13,134.96712
2026-02-14,135.12073
2026-02-15,135.27293
2026-02-16,135.42383
2026-02-17,135.57336
2026-02-18,135.72153
2026-02-19,135.86842
2026-02-20,136.01393
2026-02-21,136.15813
2026-02-22,136.30103
2026-02-23,136.44261
2026-02-24,136.58292
2026-02-25,136.7219
2026-02-26,136.85965
2026-02-27,136.99605
2026-02-28,137.13126
2026-03-01,137.26517
2026-03-02,137.39783
2026-03-03,137.52924
2026-03-04,137.65942
2026-03-05,137.78838
2026-03-06,137.91609
2026-03-07,138.04262
2026-03-08,138.16794
2026-03-09,138.29204
2026-03-10,138.41496
2026-03-11,138.53668
2026-03-12,138.65726
2026-03-13,138.77666
2026-03-14,138.8949
2026-03-15,139.012
2026-03-16,139.12793
2026-03-17,139.24275
2026-03-18,139.35645
2026-03-19,139.469
2026-03-20,139.58044
